cond,time,otu,total,unb,unb_ratio
boss,0,saureus,0,0,0
boss,0,lmonocytogenes,0,0,0
boss,0,bsubtilis,0,0,0
boss,0,ecoli,0,0,0
boss,0,paeruginosa,0,0,0
boss,0,senterica,0,0,0
boss,0,lfermentum,0,0,0
boss,0,efaecalis,0,0,0
boss,1,saureus,0,0,0
boss,1,lmonocytogenes,1683,0,0.0
boss,1,bsubtilis,27,0,0.0
boss,1,ecoli,1,0,0.0
boss,1,paeruginosa,88,0,0.0
boss,1,senterica,4,0,0.0
boss,1,lfermentum,0,0,0
boss,1,efaecalis,10,0,0.0
boss,2,saureus,0,0,0
boss,2,lmonocytogenes,3399,42,0.01235657546337158
boss,2,bsubtilis,54,0,0.0
boss,2,ecoli,4,0,0.0
boss,2,paeruginosa,162,0,0.0
boss,2,senterica,6,0,0.0
boss,2,lfermentum,0,0,0
boss,2,efaecalis,19,0,0.0
boss,3,saureus,0,0,0
boss,3,lmonocytogenes,5068,841,0.1659431728492502
boss,3,bsubtilis,77,0,0.0
boss,3,ecoli,4,0,0.0
boss,3,paeruginosa,251,0,0.0
boss,3,senterica,9,0,0.0
boss,3,lfermentum,0,0,0
boss,3,efaecalis,30,0,0.0
boss,4,saureus,0,0,0
boss,4,lmonocytogenes,7618,3095,0.4062746127592544
boss,4,bsubtilis,107,0,0.0
boss,4,ecoli,5,0,0.0
boss,4,paeruginosa,409,0,0.0
boss,4,senterica,10,0,0.0
boss,4,lfermentum,1,0,0.0
boss,4,efaecalis,45,3,0.06666666666666667
boss,5,saureus,0,0,0
boss,5,lmonocytogenes,11076,6396,0.5774647887323944
boss,5,bsubtilis,145,0,0.0
boss,5,ecoli,7,0,0.0
boss,5,paeruginosa,623,0,0.0
boss,5,senterica,12,0,0.0
boss,5,lfermentum,2,0,0.0
boss,5,efaecalis,59,7,0.11864406779661017
boss,6,saureus,0,0,0
boss,6,lmonocytogenes,14538,9678,0.6657036731324804
boss,6,bsubtilis,182,0,0.0
boss,6,ecoli,9,0,0.0
boss,6,paeruginosa,827,0,0.0
boss,6,senterica,13,0,0.0
boss,6,lfermentum,3,0,0.0
boss,6,efaecalis,74,19,0.25675675675675674
boss,7,saureus,0,0,0
boss,7,lmonocytogenes,18011,12962,0.7196713119760146
boss,7,bsubtilis,228,0,0.0
boss,7,ecoli,10,0,0.0
boss,7,paeruginosa,1025,0,0.0
boss,7,senterica,13,0,0.0
boss,7,lfermentum,3,0,0.0
boss,7,efaecalis,97,37,0.38144329896907214
boss,8,saureus,0,0,0
boss,8,lmonocytogenes,21523,16309,0.7577475259025229
boss,8,bsubtilis,281,0,0.0
boss,8,ecoli,11,0,0.0
boss,8,paeruginosa,1221,0,0.0
boss,8,senterica,14,0,0.0
boss,8,lfermentum,4,0,0.0
boss,8,efaecalis,114,51,0.4473684210526316
boss,9,saureus,0,0,0
boss,9,lmonocytogenes,24978,19626,0.78573144367043
boss,9,bsubtilis,319,0,0.0
boss,9,ecoli,12,0,0.0
boss,9,paeruginosa,1417,0,0.0
boss,9,senterica,18,0,0.0
boss,9,lfermentum,5,0,0.0
boss,9,efaecalis,139,71,0.5107913669064749
control,0,saureus,0,0,0
control,0,lmonocytogenes,0,0,0
control,0,bsubtilis,0,0,0
control,0,ecoli,0,0,0
control,0,paeruginosa,0,0,0
control,0,senterica,0,0,0
control,0,lfermentum,0,0,0
control,0,efaecalis,0,0,0
control,1,saureus,0,0,0
control,1,lmonocytogenes,1688,0,0.0
control,1,bsubtilis,27,0,0.0
control,1,ecoli,1,0,0.0
control,1,paeruginosa,88,0,0.0
control,1,senterica,4,0,0.0
control,1,lfermentum,0,0,0
control,1,efaecalis,5,0,0.0
control,2,saureus,0,0,0
control,2,lmonocytogenes,2546,0,0.0
control,2,bsubtilis,42,0,0.0
control,2,ecoli,3,0,0.0
control,2,paeruginosa,127,0,0.0
control,2,senterica,5,0,0.0
control,2,lfermentum,0,0,0
control,2,efaecalis,13,0,0.0
control,3,saureus,0,0,0
control,3,lmonocytogenes,4254,0,0.0
control,3,bsubtilis,65,0,0.0
control,3,ecoli,4,0,0.0
control,3,paeruginosa,211,0,0.0
control,3,senterica,6,0,0.0
control,3,lfermentum,0,0,0
control,3,efaecalis,16,0,0.0
control,4,saureus,0,0,0
control,4,lmonocytogenes,5077,0,0.0
control,4,bsubtilis,78,0,0.0
control,4,ecoli,4,0,0.0
control,4,paeruginosa,251,0,0.0
control,4,senterica,9,0,0.0
control,4,lfermentum,0,0,0
control,4,efaecalis,20,0,0.0
control,5,saureus,0,0,0
control,5,lmonocytogenes,6772,0,0.0
control,5,bsubtilis,94,0,0.0
control,5,ecoli,5,0,0.0
control,5,paeruginosa,351,0,0.0
control,5,senterica,10,0,0.0
control,5,lfermentum,0,0,0
control,5,efaecalis,23,0,0.0
control,6,saureus,0,0,0
control,6,lmonocytogenes,7633,0,0.0
control,6,bsubtilis,108,0,0.0
control,6,ecoli,5,0,0.0
control,6,paeruginosa,412,0,0.0
control,6,senterica,10,0,0.0
control,6,lfermentum,1,0,0.0
control,6,efaecalis,26,0,0.0
control,7,saureus,0,0,0
control,7,lmonocytogenes,8483,0,0.0
control,7,bsubtilis,119,0,0.0
control,7,ecoli,5,0,0.0
control,7,paeruginosa,467,0,0.0
control,7,senterica,10,0,0.0
control,7,lfermentum,2,0,0.0
control,7,efaecalis,33,0,0.0
control,8,saureus,0,0,0
control,8,lmonocytogenes,10185,0,0.0
control,8,bsubtilis,141,0,0.0
control,8,ecoli,7,0,0.0
control,8,paeruginosa,575,0,0.0
control,8,senterica,11,0,0.0
control,8,lfermentum,2,0,0.0
control,8,efaecalis,43,0,0.0
control,9,saureus,0,0,0
control,9,lmonocytogenes,11082,0,0.0
control,9,bsubtilis,147,0,0.0
control,9,ecoli,7,0,0.0
control,9,paeruginosa,629,0,0.0
control,9,senterica,12,0,0.0
control,9,lfermentum,2,0,0.0
control,9,efaecalis,45,0,0.0
